id,company_id,page_url,form_type,action,method,submit_type,endpoint,captcha,is_modal,trigger_selector,csrf_token,fields,hidden_fields,selectors,xpath
1,1,https://cian.ru/contacts,contact,https://cian.ru/contacts,POST,ajax,https://cian.ru/contacts,recaptcha_v2,False,,,"[{""tag"": ""input"", ""name"": ""topic"", ""type"": ""text"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""xf1bb6bc5--_5f228--input"", ""data_attrs"": {}, ""purpose"": ""other""}]",[],"{""form"": ""html > body > form"", ""submit_btn"": ""button.xf1bb6bc5--a048a1--button.xf1bb6bc5--b1bb8d--button"", ""inputs"": [""input[name=\""topic\""]""]}",//html[1]/body[1]/form[1]
2,9,https://pik.ru/callback,callback,,POST,ajax,,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""sc-cBQgDv cJrGAb"", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""sc-cBQgDv cJrGAb"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": ""email"", ""type"": ""email"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": ""sc-cBQgDv cJrGAb"", ""data_attrs"": {}, ""purpose"": ""email""}]",[],"{""form"": ""html > body > form.sc-dMNpIP.lbJGMB"", ""submit_btn"": ""button.sc-fnykZs.kOfxEI"", ""inputs"": [""input[name=\""name\""]"", ""input[name=\""phone\""]"", ""input[name=\""email\""]""]}",//html[1]/body[1]/form[1]
3,10,https://novostroikino.ru/kontakty,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/kontakty/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
4,10,https://novostroikino.ru/request,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/request/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
5,10,https://novostroikino.ru/consultation,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/consultation/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
6,10,https://novostroikino.ru/feedback,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/feedback/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
7,10,https://novostroikino.ru/order,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/order/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
8,10,https://novostroikino.ru/about,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/about/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
9,10,https://novostroikino.ru/o-kompanii,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/o-kompanii/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
10,10,https://novostroikino.ru/uslugi,callback,https://novostroikino.ru/ajax/send.php,POST,form,https://novostroikino.ru/ajax/send.php,none,False,,,"[{""tag"": ""input"", ""name"": ""name"", ""type"": ""text"", ""id"": """", ""placeholder"": ""Ваше имя"", ""value"": """", ""required"": true, ""class"": """", ""data_attrs"": {}, ""purpose"": ""name""}, {""tag"": ""input"", ""name"": ""phone"", ""type"": ""tel"", ""id"": ""phone-callback"", ""placeholder"": ""Номер телефона"", ""value"": """", ""required"": true, ""class"": ""input-mask"", ""data_attrs"": {}, ""purpose"": ""phone""}, {""tag"": ""input"", ""name"": """", ""type"": ""submit"", ""id"": """", ""placeholder"": """", ""value"": ""Перезвоните мне"", ""required"": false, ""class"": ""btn"", ""data_attrs"": {}, ""purpose"": ""other""}]","[{""tag"": ""input"", ""name"": ""cf-turnstile-response"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": """", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}, {""tag"": ""input"", ""name"": ""spam"", ""type"": ""hidden"", ""id"": """", ""placeholder"": """", ""value"": ""https://novostroikino.ru/uslugi/"", ""required"": false, ""class"": """", ""data_attrs"": {}, ""purpose"": ""hidden""}]","{""form"": ""html.bx-core.bx-mac > body > div.wrapper:nth-of-type(2) > div.popup.popup-callback:nth-of-type(2) > form"", ""submit_btn"": ""input.btn"", ""inputs"": [""input[name=\""name\""]"", ""#phone-callback""]}",//body[1]/div[2]/div[2]/form[1]
